Idade;Nivel_educacao;Avaliacao_desempenho;Experiencia_cargos_lideranca;Habilidades_competencias;Treinamento_lideranca;Feedback_supervisores;Satisfacao_trabalho;Lider;Coach;Empodera;Sucesso_membros;Orientado_resultados;Comunicador;Desenvolvimento_carreira;Estrategia_equipe;Habilidades_tecnicas
33.0;Não Especifica;0.0;0.0;2.0;N;0.987023081981475;5.0;N;S;N;S;N;S;N;S;N
32.0;Especialização;5.0;0.0;4.0;S;0.29835363065288334;0.0;N;S;N;S;N;S;N;S;N
64.0;Especialização;4.0;0.0;10.0;S;0.6152691603435876;0.0;N;S;N;S;N;S;N;S;N
68.0;Especialização;5.0;0.0;4.0;N;0.23950774404030484;3.0;N;S;N;S;N;S;N;S;N
61.0;Especialização;4.0;0.0;5.0;S;0.46660626592618204;3.0;N;S;N;S;N;S;N;S;N
72.0;Especialização;0.0;0.0;8.0;N;0.2000492331463749;3.0;N;S;N;S;N;S;N;S;N
69.0;Especialização;0.0;0.0;0.0;S;0.5581922352997577;4.0;N;S;N;S;N;S;N;S;N
74.0;Especialização;;0.0;9.0;S;0.2650117864836675;5.0;S;S;S;S;S;S;S;S;S
20.0;Especialização;4.0;0.0;5.0;N;0.03678891671883078;0.0;N;S;N;S;N;S;N;S;N
54.0;Médio;1.0;0.0;0.0;N;0.81527109147282;2.0;N;S;N;S;N;S;N;S;N
54.0;Médio;0.0;0.0;5.0;S;0.1282551121204175;5.0;N;S;N;S;N;S;N;S;N
24.0;Especialização;5.0;0.0;1.0;N;0.3680387991169056;2.0;N;S;N;S;N;S;N;S;N
38.0;Especialização;3.0;0.0;7.0;n;0.4771776091112029;0.0;N;S;N;S;N;S;N;S;N
26.0;Especialização;4.0;0.0;10.0;N;0.43248000042192736;1.0;N;S;N;S;N;S;N;S;N
56.0;Especialização;5.0;0.0;2.0;N;0.725665763690009;5.0;N;S;N;S;N;S;N;S;N
35.0;Especialização;2.0;0.0;9.0;S;0.5967765959309443;;S;S;S;S;S;S;S;S;S
21.0;Médio;2.0;0.0;5.0;S;0.29537118270748597;2.0;N;S;N;S;N;S;N;S;N
42.0;Especialização;3.0;0.0;5.0;S;0.05170299984067017;5.0;N;S;N;S;N;S;N;S;N
31.0;Especialização;;0.0;3.0;N;0.7675951182531763;5.0;N;S;N;S;N;S;N;S;N
67.0;Especialização;0.0;0.0;4.0;N;0.3525271266784217;3.0;N;S;N;S;N;S;N;S;N
75.0;Médio;4.0;0.0;1.0;S;0.8897247409999692;1.0;N;S;N;S;N;S;N;S;N
26.0;nan;;0.0;9.0;N;0.3950567736032504;3.0;N;S;N;S;N;S;N;S;N
43.0;Médio;0.0;0.0;9.0;S;0.7176586061377073;1.0;N;S;N;S;N;S;N;S;N
70.0;Médio;5.0;0.0;7.0;S;0.9395647032346792;1.0;N;S;N;S;N;S;N;S;N
19.0;Médio;4.0;0.0;9.0;S;0.6511524506354798;4.0;S;S;S;S;S;S;S;S;S
37.0;Especialização;2.0;0.0;6.0;S;0.4134889133975048;5.0;N;S;N;S;N;S;N;S;N
45.0;Especialização;0.0;0.0;9.0;S;0.5673992687859428;3.0;N;S;N;S;N;S;N;S;N
64.0;Especialização;3.0;0.0;5.0;N;0.5434451885418926;3.0;N;S;N;S;N;S;N;S;N
24.0;Especialização;1.0;0.0;6.0;N;0.5848200366533628;2.0;N;S;N;S;N;S;N;S;N
61.0;Especialização;3.0;0.0;0.0;S;0.1468199856413458;5.0;N;S;N;S;N;S;N;S;N
25.0;Especialização;1.0;0.0;4.0;N;0.69850988240131;0.0;N;S;N;S;N;S;N;S;N
64.0;Médio;5.0;;6.0;S;0.14504327166918718;0.0;N;S;N;S;N;S;N;S;N
52.0;Especialização;0.0;0.0;0.0;N;0.014616884317613987;2.0;N;S;N;S;N;S;N;S;N
31.0;Especialização;0.0;0.0;1.0;N;0.6247801006840635;1.0;N;S;N;S;N;S;N;S;N
34.0;Especialização;1.0;0.0;8.0;S;0.1169135721755914;2.0;N;S;N;S;N;S;N;S;N
53.0;Especialização;2.0;0.0;2.0;N;0.7704116367112732;2.0;N;S;N;S;N;S;N;S;N
67.0;Especialização;4.0;0.0;5.0;S;0.8659659535008205;3.0;N;S;N;S;N;S;N;S;N
57.0;Médio;3.0;0.0;6.0;N;0.9447367902839263;2.0;N;S;N;S;N;S;N;S;N
21.0;Médio;5.0;0.0;8.0;S;0.6644769629063916;1.0;N;S;N;S;N;S;N;S;N
19.0;Doutorado;3.0;0.0;4.0;S;0.48201489289230415;0.0;N;S;N;S;N;S;N;S;N
23.0;Especialização;3.0;0.0;;S;0.3522810807057991;4.0;N;S;N;S;N;S;N;S;N
71.0;Especialização;5.0;0.0;10.0;S;0.4909250939863308;5.0;S;S;S;S;S;S;S;S;S
59.0;Médio;5.0;0.0;1.0;S;0.1903522283603135;2.0;N;S;N;S;N;S;N;S;N
21.0;Especialização;0.0;0.0;2.0;S;0.34842264778909304;5.0;N;S;N;S;N;S;N;S;N
71.0;Médio;3.0;0.0;4.0;N;0.7179305248344978;2.0;N;S;N;S;N;S;S;S;N
46.0;Especialização;4.0;0.0;10.0;S;0.21742297113421316;5.0;S;S;S;N;S;S;N;N;S
35.0;Especialização;4.0;0.0;1.0;N;0.264067135673665;3.0;N;S;N;S;N;S;S;S;N
43.0;Especialização;1.0;0.0;3.0;S;0.7493282557078487;3.0;N;S;N;S;N;S;S;S;N
61.0;Médio;5.0;0.0;0.0;N;0.1778359358272208;5.0;N;S;N;S;N;S;S;S;N
51.0;Especialização;0.0;0.0;3.0;S;0.24588758647337772;2.0;N;S;N;S;N;S;S;S;N
27.0;Especialização;4.0;0.0;6.0;S;0.017547562822650353;2.0;N;S;N;S;N;S;S;S;N
53.0;Especialização;2.0;0.0;2.0;N;0.7200515995351068;1.0;N;S;N;S;N;S;S;S;N
31.0;Especialização;0.0;0.0;9.0;S;0.6179035655664339;0.0;N;S;N;S;N;S;S;S;N
48.0;Especialização;0.0;0.0;7.0;S;0.6943854525115413;0.0;N;S;N;S;N;S;S;N;N
65.0;Especialização;4.0;0.0;5.0;S;0.21432776195331316;4.0;N;S;N;S;N;S;S;N;N
32.0;Especialização;2.0;0.0;5.0;D;0.6873763907278714;0.0;N;S;N;S;N;S;S;N;N
25.0;Médio;1.0;0.0;0.0;N;0.5963766176932567;4.0;N;S;N;S;N;S;S;N;N
31.0;Médio;4.0;0.0;4.0;S;0.3661229792220033;3.0;N;S;N;S;N;S;S;N;N
40.0;Especialização;2.0;0.0;2.0;N;0.4378258116344047;4.0;N;S;N;S;N;S;S;N;N
74.0;Médio;0.0;0.0;9.0;S;0.5679205032734082;4.0;S;S;S;N;S;S;N;N;S
57.0;Especialização;2.0;0.0;0.0;S;0.4932921760875567;0.0;N;S;N;S;N;S;S;N;N
38.0;Especialização;0.0;0.0;7.0;S;0.6418280659693711;2.0;N;S;N;S;N;S;S;N;N
33.0;Especialização;4.0;0.0;6.0;S;0.18097957760599515;3.0;N;S;N;S;N;S;S;N;N
62.0;nan;5.0;0.0;6.0;N;0.5407099549161969;1.0;N;S;N;S;N;S;S;N;N
35.0;Especialização;4.0;0.0;9.0;S;0.4502794828645408;4.0;S;S;S;N;S;S;N;N;S
64.0;Especialização;3.0;0.0;9.0;S;0.46102049401399825;4.0;S;S;S;N;S;S;N;N;S
70.0;Especialização;3.0;0.0;9.0;S;0.4693820505825953;5.0;S;S;S;N;S;S;N;N;S
41.0;Especialização;3.0;0.0;3.0;D;0.8814719638223172;4.0;N;S;N;S;N;S;S;N;N
43.0;Especialização;4.0;0.0;10.0;N;0.8186274411366156;;N;S;N;S;N;S;S;N;N
42.0;Médio;1.0;0.0;5.0;N;0.6295699611705368;1.0;N;S;N;S;N;S;S;N;N
62.0;Especialização;4.0;0.0;8.0;N;0.7164869356023688;5.0;S;S;S;N;S;S;N;N;S
58.0;Especialização;5.0;0.0;2.0;S;0.042802636068106636;0.0;N;S;N;S;N;S;S;N;N
46.0;Especialização;2.0;0.0;8.0;S;0.7439917193796687;3.0;N;S;N;S;N;S;S;N;N
32.0;Especialização;4.0;0.0;3.0;N;0.4861646884536487;2.0;N;S;N;S;N;S;S;N;N
62.0;Médio;4.0;0.0;4.0;S;0.3177475645481276;1.0;N;S;N;S;N;S;S;N;N
18.0;Especialização;0.0;0.0;6.0;S;0.13977696593814293;3.0;N;S;N;S;N;S;S;N;N
42.0;Especialização;0.0;0.0;5.0;N;0.0752087903519918;0.0;N;S;N;S;N;S;S;N;N
24.0;Médio;0.0;0.0;9.0;S;0.044885685496723116;3.0;N;S;N;S;N;S;S;N;N
26.0;Especialização;;0.0;7.0;N;0.16179617489024078;5.0;N;S;N;S;N;S;S;N;N
41.0;Especialização;1.0;0.0;7.0;N;0.030143794797741652;4.0;N;S;N;S;N;S;S;N;N
18.0;Especialização;2.0;0.0;7.0;N;0.732642242442521;4.0;N;S;N;S;N;S;S;N;N
61.0;Especialização;2.0;0.0;2.0;N;0.2486141190217397;2.0;N;S;N;S;N;S;S;N;N
25.0;Médio;5.0;0.0;9.0;N;0.36874042693200915;3.0;N;S;N;S;N;S;S;N;N
41.0;Especialização;1.0;0.0;5.0;N;0.8227162138158829;4.0;N;S;N;S;N;S;S;N;N
28.0;Especialização;;0.0;6.0;S;0.11465749652459067;2.0;N;S;N;S;N;S;S;N;N
68.0;Especialização;2.0;0.0;8.0;S;0.8355940302362127;2.0;N;S;N;S;N;S;S;N;N
34.0;Especialização;3.0;0.0;9.0;S;;5.0;S;S;S;N;S;S;N;N;S
25.0;nan;0.0;0.0;9.0;N;0.34202951460460307;2.0;N;S;N;S;N;S;S;N;N
52.0;Especialização;0.0;0.0;3.0;N;0.11780721306768427;0.0;N;S;N;S;N;S;S;N;N
52.0;Especialização;2.0;0.0;4.0;N;0.09149269734091248;4.0;N;S;N;S;N;S;S;N;N
50.0;Especialização;1.0;0.0;7.0;S;0.3355143460793206;4.0;N;S;N;S;N;S;S;N;N
22.0;Médio;5.0;0.0;0.0;S;0.14034197271804583;1.0;N;S;N;S;N;S;S;N;N
59.0;Especialização;3.0;0.0;5.0;N;0.2677102964752748;0.0;N;S;N;S;N;S;S;N;N
56.0;Especialização;2.0;0.0;3.0;N;0.05295580045132453;4.0;N;S;N;S;N;S;S;N;N
75.0;Médio;0.0;0.0;4.0;N;0.5950084216966989;5.0;N;S;N;S;N;S;S;N;N
58.0;Especialização;4.0;0.0;10.0;N;0.1452761169538045;4.0;S;S;S;N;S;S;N;N;S
45.0;Especialização;1.0;0.0;4.0;N;0.756732313125627;1.0;N;S;N;S;N;S;S;N;N
24.0;Especialização;4.0;0.0;1.0;D;0.2181749762779721;3.0;N;S;N;S;N;S;S;N;N
26.0;Médio;5.0;0.0;7.0;N;0.7979765793381859;3.0;N;S;N;S;N;S;S;N;N
25.0;Especialização;2.0;0.0;1.0;N;0.18988198622586772;0.0;N;S;N;S;N;S;S;N;N
29.0;Especialização;0.0;0.0;3.0;N;0.7213665637012986;2.0;N;S;N;S;N;S;S;N;N
51.0;Especialização;3.0;0.0;4.0;N;0.3330746796251973;1.0;N;S;N;S;N;S;S;N;N
50.0;Especialização;4.0;0.0;0.0;S;0.5831199948890083;1.0;N;S;N;S;N;S;S;N;N
65.0;Especialização;3.0;0.0;5.0;N;0.03866181432173843;4.0;N;S;N;S;N;S;S;N;N
72.0;Especialização;5.0;0.0;1.0;N;0.49524443435425747;5.0;N;S;N;S;N;S;S;N;N
40.0;Especialização;0.0;0.0;4.0;N;0.14868789470206323;4.0;N;S;N;S;N;S;S;N;N
41.0;Especialização;4.0;0.0;5.0;S;0.48632022724902646;5.0;N;S;N;S;N;S;S;N;N
54.0;Especialização;5.0;0.0;10.0;N;0.1413591308861497;1.0;N;S;N;S;N;S;S;N;N
52.0;Especialização;3.0;0.0;7.0;S;0.43708912013937085;2.0;N;S;N;S;N;S;S;N;N
61.0;Especialização;3.0;0.0;8.0;N;0.11062082023228836;3.0;N;S;N;S;N;S;S;N;N
57.0;Médio;4.0;;5.0;N;0.21995151773429578;0.0;N;S;N;S;N;S;S;N;N
39.0;Especialização;;0.0;4.0;N;;5.0;N;S;N;S;N;S;S;N;N
44.0;Especialização;3.0;0.0;3.0;N;0.9766606372101422;3.0;N;S;N;S;N;S;S;N;N
52.0;Especialização;2.0;0.0;1.0;N;0.44918476839197197;0.0;N;S;N;S;N;S;S;N;N
18.0;Doutorado;5.0;0.0;1.0;N;0.6871736926095025;2.0;N;S;N;S;N;S;S;N;N
52.0;Doutorado;4.0;0.0;6.0;N;0.5394246710443752;1.0;N;S;N;S;N;S;S;N;N
54.0;Médio;1.0;0.0;4.0;N;0.49835793429443775;2.0;N;S;N;S;N;S;S;N;N
64.0;Médio;1.0;0.0;6.0;N;0.06470419683985118;5.0;N;S;N;S;N;S;S;N;N
31.0;Especialização;0.0;0.0;10.0;S;0.14429740227527943;1.0;N;S;N;S;N;S;S;N;N
20.0;nan;2.0;0.0;0.0;S;0.8830577292325673;4.0;N;S;N;S;N;S;S;N;N
18.0;Especialização;3.0;0.0;0.0;S;0.4101643150418033;0.0;N;S;N;S;N;S;S;N;N
22.0;nan;1.0;0.0;4.0;S;0.614332476584791;4.0;N;S;N;S;N;S;S;N;N
43.0;Especialização;0.0;0.0;1.0;N;0.5282332327149584;1.0;N;S;N;S;N;S;S;N;N
72.0;Especialização;5.0;0.0;7.0;N;0.3788823795512348;0.0;N;S;N;S;N;S;S;N;N
31.0;Especialização;2.0;0.0;2.0;S;0.3878165426109311;0.0;N;S;N;S;N;S;S;N;N
56.0;Doutorado;2.0;0.0;0.0;S;0.5554650059086728;4.0;N;S;N;S;N;S;S;N;N
44.0;Médio;0.0;0.0;1.0;S;0.14114180147574362;0.0;N;S;N;S;N;S;S;N;N
26.0;Especialização;0.0;0.0;9.0;S;0.38725904025443403;1.0;N;S;N;S;N;S;S;N;N
32.0;Especialização;3.0;0.0;9.0;N;0.4469755694027391;5.0;S;S;S;N;S;S;N;N;S
32.0;Médio;0.0;0.0;6.0;S;0.9851262236761242;5.0;N;S;N;S;N;S;S;N;N
43.0;Especialização;3.0;0.0;5.0;N;0.3514547692857177;1.0;N;S;N;S;N;S;S;N;N
59.0;Médio;3.0;0.0;7.0;N;0.6445788958808689;4.0;N;S;N;S;N;S;S;N;N
30.0;Médio;4.0;0.0;6.0;N;0.13741549982646817;2.0;N;S;N;S;N;S;S;N;N
68.0;Especialização;2.0;0.0;9.0;S;0.06548138183021912;1.0;N;S;N;S;N;S;S;N;N
49.0;Especialização;5.0;0.0;7.0;S;0.8715420140012303;5.0;N;S;N;S;N;S;S;N;N
56.0;Especialização;2.0;0.0;2.0;N;0.7307349024056865;1.0;N;S;N;S;N;S;S;N;N
66.0;Doutorado;2.0;0.0;5.0;S;0.317499287594569;0.0;N;S;N;S;N;S;S;N;N
69.0;Médio;;0.0;6.0;S;0.504578002897229;0.0;N;S;N;S;N;S;S;N;N
49.0;Doutorado;3.0;0.0;9.0;N;0.13574418445183856;1.0;N;S;N;S;N;S;S;N;N
21.0;Doutorado;3.0;0.0;10.0;N;0.7071602939808602;4.0;S;N;S;S;S;S;N;N;S
47.0;Especialização;0.0;0.0;0.0;S;0.07033059208743897;2.0;N;S;N;S;N;S;S;N;N
54.0;Especialização;4.0;0.0;0.0;N;0.7570330569412019;0.0;N;S;N;S;N;S;S;N;N
40.0;Especialização;0.0;0.0;6.0;S;0.5468365102699866;5.0;N;S;N;S;N;S;S;N;N
56.0;Médio;4.0;;10.0;S;0.27885053008676475;0.0;N;S;N;S;N;S;S;N;N
62.0;Especialização;0.0;0.0;2.0;N;0.8625743540614568;5.0;N;S;N;S;N;S;S;N;N
32.0;Especialização;1.0;0.0;2.0;N;0.9860718703388544;2.0;N;S;N;S;N;S;S;N;N
60.0;Médio;2.0;0.0;4.0;S;0.254349101197638;0.0;N;S;N;S;N;S;S;N;N
46.0;Médio;2.0;0.0;10.0;N;0.8062461495859325;4.0;S;N;S;S;S;S;N;N;S
53.0;Especialização;5.0;0.0;5.0;S;0.7501663163764574;5.0;N;S;N;S;N;S;S;N;N
30.0;Especialização;3.0;0.0;1.0;N;0.7471901211056694;0.0;N;S;N;S;N;S;S;N;N
49.0;Especialização;5.0;0.0;2.0;S;0.9572356114840272;0.0;N;S;N;S;N;S;S;N;N
24.0;Especialização;1.0;0.0;5.0;N;0.48661709230199235;1.0;N;S;N;S;N;S;S;N;N
68.0;Especialização;5.0;0.0;2.0;S;0.6741680405566547;4.0;N;S;N;S;N;S;S;N;N
39.0;Especialização;2.0;0.0;4.0;S;0.8238773636258041;4.0;N;S;N;S;N;S;S;N;N
45.0;Especialização;3.0;0.0;8.0;N;0.4795364450430264;1.0;N;S;N;S;N;S;S;N;N
19.0;Doutorado;1.0;0.0;2.0;S;0.4814312028120059;5.0;N;S;N;S;N;S;S;N;N
59.0;Especialização;2.0;0.0;10.0;S;0.31865475406735133;3.0;N;S;N;S;N;S;S;N;N
62.0;Doutorado;0.0;0.0;5.0;D;0.7808257128271341;2.0;N;S;N;S;N;S;S;N;N
74.0;Especialização;4.0;0.0;10.0;S;0.6861957796855566;4.0;S;N;S;S;S;S;S;S;S
70.0;Doutorado;1.0;0.0;4.0;S;0.45113989950104993;3.0;N;S;N;S;N;S;S;N;N
23.0;Especialização;3.0;0.0;4.0;N;0.4193366573987367;5.0;N;S;N;S;N;S;S;N;N
45.0;Médio;5.0;0.0;10.0;S;0.07258964316911865;2.0;N;S;N;S;N;S;S;N;N
45.0;Doutorado;5.0;0.0;5.0;S;0.006501146828415516;4.0;N;S;N;S;N;S;S;N;N
61.0;Doutorado;1.0;0.0;5.0;S;0.5288939665318434;0.0;N;S;N;S;N;S;S;N;N
61.0;Especialização;3.0;0.0;0.0;N;0.4174928523515995;4.0;N;S;N;S;N;S;S;N;N
37.0;Especialização;1.0;0.0;10.0;N;0.7960367599017643;2.0;N;S;N;S;N;S;S;N;N
47.0;Doutorado;3.0;0.0;8.0;S;0.5426540563071215;3.0;N;S;N;S;N;S;S;N;N
28.0;Doutorado;5.0;0.0;4.0;S;0.9367060433822255;0.0;N;S;N;S;N;S;S;N;N
75.0;Doutorado;2.0;0.0;0.0;N;0.19614079886099856;2.0;N;S;N;S;N;S;S;N;N
72.0;Doutorado;0.0;0.0;7.0;N;0.9901503403850398;5.0;N;S;N;S;N;S;S;N;N
45.0;Médio;2.0;0.0;6.0;S;0.29791919431210634;2.0;N;S;N;S;N;S;S;N;N
42.0;Especialização;0.0;0.0;6.0;N;0.6424239735733059;4.0;N;S;N;S;N;S;S;N;N
56.0;Especialização;5.0;0.0;4.0;S;0.5018537136166513;5.0;N;S;N;S;N;S;S;N;N
50.0;Especialização;2.0;0.0;0.0;S;0.3595764012492494;1.0;N;S;N;S;N;S;S;N;N
18.0;Médio;2.0;0.0;8.0;S;0.1393091832654466;1.0;N;S;N;S;N;S;S;N;N
74.0;Especialização;1.0;0.0;10.0;N;0.13483415145221167;0.0;N;S;N;S;N;S;S;N;N
44.0;Especialização;4.0;0.0;8.0;S;0.7115058273781953;2.0;N;S;N;S;N;S;S;N;N
74.0;Médio;5.0;0.0;7.0;S;0.37764138297631134;3.0;N;S;N;S;N;S;S;N;N
69.0;Especialização;3.0;0.0;4.0;N;0.9612979741329427;0.0;N;S;N;S;N;S;S;N;N
30.0;Especialização;5.0;0.0;2.0;S;0.32564848650633804;5.0;N;S;N;S;N;S;S;N;N
58.0;Médio;3.0;0.0;7.0;S;0.9835237217479629;0.0;N;S;N;S;N;S;S;N;N
20.0;Especialização;3.0;0.0;0.0;S;0.20542325659526273;4.0;N;S;N;S;N;S;S;N;N
56.0;Especialização;0.0;0.0;2.0;N;0.10281438623105355;5.0;N;S;N;S;N;S;S;N;N
23.0;Especialização;;0.0;10.0;N;0.31256973352295714;3.0;N;S;N;S;N;S;S;N;N
25.0;Especialização;3.0;0.0;6.0;S;0.885584789428589;2.0;N;S;N;S;N;S;S;N;N
44.0;Especialização;1.0;0.0;3.0;N;0.5218519444952847;5.0;N;S;N;S;N;S;S;N;N
26.0;Especialização;;0.0;6.0;S;0.13565010593720805;2.0;N;S;N;S;N;S;S;N;N
54.0;Especialização;5.0;0.0;10.0;S;0.20249904960409504;2.0;N;S;N;S;N;S;S;N;N
50.0;Especialização;5.0;0.0;4.0;N;0.31126066214956327;0.0;N;S;N;S;N;S;S;N;N
68.0;Especialização;3.0;0.0;5.0;N;0.5901667378127078;4.0;N;S;N;S;N;S;S;N;N
59.0;Médio;4.0;0.0;6.0;S;0.3323789398776207;0.0;N;S;N;S;N;S;S;N;N
61.0;Especialização;5.0;0.0;9.0;N;0.7470540820893272;1.0;N;S;N;S;N;S;S;N;N
41.0;Médio;3.0;0.0;6.0;N;0.6162935561852966;1.0;N;S;N;S;N;S;S;N;N
32.0;Especialização;0.0;0.0;6.0;N;0.8738237373533401;2.0;N;S;N;S;N;S;S;N;N
71.0;Especialização;0.0;0.0;6.0;D;0.5009618263593643;4.0;N;S;N;S;N;S;S;N;N
49.0;Especialização;0.0;0.0;10.0;n;0.3311764141010678;5.0;S;N;S;S;S;S;S;S;S
49.0;Médio;3.0;0.0;6.0;N;0.9962715678032041;2.0;N;S;N;S;N;S;S;N;N
41.0;Especialização;1.0;0.0;2.0;S;0.35563332180735574;5.0;N;S;N;S;N;S;S;N;N
58.0;Especialização;4.0;0.0;2.0;S;0.42860263978051205;2.0;N;S;N;S;N;S;S;N;N
69.0;Especialização;3.0;0.0;6.0;N;0.8091272253580883;0.0;N;S;N;S;N;S;S;N;N
;Especialização;1.0;0.0;1.0;S;0.08863623389309261;2.0;N;S;N;S;N;S;S;N;N
66.0;Especialização;1.0;0.0;1.0;N;0.38649010605851464;2.0;N;S;N;S;N;S;S;N;N
75.0;Especialização;5.0;0.0;2.0;S;0.08571009343828395;4.0;N;S;N;S;N;S;S;N;N
69.0;Especialização;3.0;0.0;3.0;S;;4.0;N;S;N;S;N;S;S;N;N
29.0;Especialização;3.0;0.0;5.0;N;0.0046408254980069286;5.0;N;S;N;S;N;S;S;N;N
56.0;Especialização;1.0;0.0;7.0;S;0.009544292582375213;4.0;N;S;N;S;N;S;S;N;N
19.0;Especialização;1.0;0.0;9.0;N;0.380287889502852;2.0;N;S;N;S;N;S;S;N;N
20.0;Especialização;1.0;0.0;9.0;S;0.8091638049477762;4.0;S;N;S;S;S;S;S;S;S
66.0;Especialização;5.0;0.0;6.0;S;0.5870043605916931;4.0;N;S;N;S;N;S;S;N;N
54.0;Médio;3.0;0.0;3.0;S;0.6349140441376434;3.0;N;S;N;S;N;S;S;N;N
66.0;Especialização;1.0;0.0;1.0;N;0.5192492375848865;3.0;N;S;N;S;N;S;S;N;N
73.0;Especialização;0.0;0.0;1.0;S;0.8197931441705587;1.0;N;S;N;S;N;S;S;N;N
34.0;Especialização;3.0;0.0;3.0;S;0.8803787251861742;0.0;N;S;N;S;N;S;S;N;N
66.0;Médio;5.0;0.0;5.0;N;0.8497407281453753;0.0;N;S;N;S;N;S;S;N;N
19.0;Especialização;0.0;0.0;2.0;N;0.812132105803039;;N;S;N;S;N;S;S;N;N
19.0;Especialização;2.0;0.0;5.0;S;0.1827130735632838;1.0;N;S;N;S;N;S;S;N;N
45.0;Médio;3.0;0.0;4.0;N;0.5938762253652211;1.0;N;S;N;S;N;S;S;N;N
71.0;Especialização;2.0;0.0;4.0;N;0.5821631960983702;5.0;N;S;N;S;N;S;S;N;N
