Nivel_educacao,Avaliacao_desempenho,Experiencia_cargos_lideranca,Habilidades_competencias,Treinamento_lideranca,Feedback_supervisores,Satisfacao_trabalho,Lider,Coach,Empodera,Sucesso_membros,Orientado_resultados,Comunicador,Desenvolvimento_carreira,Estrategia_equipe,Habilidades_tecnicas,Idade_18-29,Idade_30-39,Idade_40-49,Idade_50-59,Idade_60-69,Idade_70-79,Idade_80-89,Indice_lideranca,Indice_competencias,Engajamento_desenvolvimento
2,2.0,0.0,4.0,0,0.266716486167321,4.0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0.08890549538910701,3.0,0.7555721620557737
1,3.0,0.0,7.0,0,0.2597111040663301,3.0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0.08657036802211003,5.0,1.08657036802211
1,4.0,0.0,4.0,1,0.4609797866933571,4.0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0.48699326223111905,4.0,1.8203265955644525
1,0.0,0.0,2.0,0,0.4334082173718403,0.0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0.14446940579061343,1.0,0.14446940579061343
2,3.0,0.0,4.0,0,0.495977466692741,0.0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0.16532582223091366,3.5,1.1653258222309137
3,0.0,0.0,2.0,0,0.987023081981475,5.0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0.329007693993825,1.0,0.329007693993825
1,5.0,0.0,4.0,1,0.2983536306528833,0.0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0.43278454355096113,4.5,2.099451210217628
1,4.0,0.0,10.0,1,0.6152691603435876,0.0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0.5384230534478626,7.0,1.871756386781196
1,5.0,0.0,4.0,0,0.2395077440403048,3.0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0.07983591468010161,4.5,1.7465025813467683
1,4.0,0.0,5.0,1,0.466606265926182,3.0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0.48886875530872737,4.5,1.8222020886420607
1,0.0,0.0,8.0,0,0.2000492331463749,3.0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0.0666830777154583,4.0,0.0666830777154583
1,0.0,0.0,0.0,1,0.5581922352997577,4.0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0.5193974117665859,0.0,0.5193974117665859
1,0.0,0.0,9.0,1,0.2650117864836675,5.0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0.4216705954945558,4.5,0.4216705954945558
1,4.0,0.0,5.0,0,0.0367889167188307,0.0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0.012262972239610233,4.5,1.3455963055729436
2,1.0,0.0,0.0,0,0.81527109147282,2.0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0.27175703049093997,0.5,0.6050903638242734
2,0.0,0.0,5.0,1,0.1282551121204175,5.0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0.37608503737347254,2.5,0.37608503737347254
1,5.0,0.0,1.0,0,0.3680387991169056,2.0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0.1226795997056352,3.0,1.7893462663723019
1,3.0,0.0,7.0,0,0.4771776091112029,0.0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0.15905920303706764,5.0,1.1590592030370677
1,4.0,0.0,10.0,0,0.4324800004219273,1.0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0.14416000014064242,7.0,1.4774933334739757
1,5.0,0.0,2.0,0,0.725665763690009,5.0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0.24188858789666967,3.5,1.9085552545633364
1,2.0,0.0,9.0,1,0.5967765959309443,2.5115834218916047,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0.5322588653103147,5.5,1.1989255319769814
2,2.0,0.0,5.0,1,0.2953711827074859,2.0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0.4317903942358286,3.5,1.0984570609024953
1,3.0,0.0,5.0,1,0.0517029998406701,5.0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0.3505676666135567,4.0,1.3505676666135569
1,0.0,0.0,3.0,0,0.7675951182531763,5.0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0.2558650394177254,1.5,0.2558650394177254
1,0.0,0.0,4.0,0,0.3525271266784217,3.0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0.11750904222614056,2.0,0.11750904222614056
2,4.0,0.0,1.0,1,0.8897247409999692,1.0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0.6299082469999897,2.5,1.963241580333323
3,0.0,0.0,9.0,0,0.3950567736032504,3.0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0.13168559120108347,4.5,0.13168559120108347
2,0.0,0.0,9.0,1,0.7176586061377073,1.0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0.572552868712569,4.5,0.572552868712569
2,5.0,0.0,7.0,1,0.9395647032346792,1.0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0.6465215677448931,6.0,2.3131882344115597
2,4.0,0.0,9.0,1,0.6511524506354798,4.0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0.5503841502118266,6.5,1.88371748354516
1,2.0,0.0,6.0,1,0.4134889133975048,5.0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0.4711629711325016,4.0,1.1378296377991683
1,0.0,0.0,9.0,1,0.5673992687859428,3.0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0.5224664229286476,4.5,0.5224664229286476
1,3.0,0.0,5.0,0,0.5434451885418926,3.0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0.18114839618063086,4.0,1.1811483961806308
1,1.0,0.0,6.0,0,0.5848200366533628,2.0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0.1949400122177876,3.5,0.5282733455511209
1,3.0,0.0,0.0,1,0.1468199856413458,5.0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0.3822733285471152,1.5,1.3822733285471152
1,1.0,0.0,4.0,0,0.69850988240131,0.0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0.23283662746710332,2.5,0.5661699608004366
2,5.0,0.0,6.0,1,0.1450432716691871,0.0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0.3816810905563957,5.5,2.048347757223062
1,0.0,0.0,0.0,0,0.0146168843176139,2.0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0.004872294772537967,0.0,0.004872294772537967
1,0.0,0.0,1.0,0,0.6247801006840635,1.0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0.2082600335613545,0.5,0.2082600335613545
1,1.0,0.0,8.0,1,0.1169135721755914,2.0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0.3723045240585305,4.5,0.7056378573918639
1,2.0,0.0,2.0,0,0.7704116367112732,2.0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0.2568038789037577,2.0,0.9234705455704244
1,4.0,0.0,5.0,1,0.8659659535008205,3.0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0.6219886511669402,4.5,1.9553219845002736
2,3.0,0.0,6.0,0,0.9447367902839264,2.0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0.31491226342797546,4.5,1.3149122634279755
2,5.0,0.0,8.0,1,0.6644769629063916,1.0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0.5548256543021305,6.5,2.2214923209687973
0,3.0,0.0,4.0,1,0.4820148928923041,0.0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0.4940049642974347,3.5,1.4940049642974345
1,3.0,0.0,4.950680272108843,1,0.3522810807057991,4.0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0.45076036023526633,3.9753401360544216,1.4507603602352663
1,5.0,0.0,10.0,1,0.4909250939863308,5.0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0.4969750313287769,7.5,2.1636416979954434
2,5.0,0.0,1.0,1,0.1903522283603135,2.0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0.3967840761201045,3.0,2.063450742786771
1,0.0,0.0,2.0,1,0.348422647789093,5.0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0.44947421592969766,1.0,0.44947421592969766
2,3.0,0.0,4.0,0,0.7179305248344978,2.0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0.23931017494483262,3.5,1.2393101749448325
1,4.0,0.0,10.0,1,0.2174229711342131,5.0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0.4058076570447377,7.0,1.739140990378071
1,4.0,0.0,1.0,0,0.264067135673665,3.0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0.08802237855788834,2.5,1.4213557118912217
1,1.0,0.0,3.0,1,0.7493282557078487,3.0,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0.5831094185692829,2.0,0.9164427519026163
2,5.0,0.0,0.0,0,0.1778359358272208,5.0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0.05927864527574026,2.5,1.725945311942407
1,0.0,0.0,3.0,1,0.2458875864733777,2.0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0.4152958621577925,1.5,0.4152958621577925
1,4.0,0.0,6.0,1,0.0175475628226503,2.0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0.3391825209408834,5.0,1.6725158542742167
1,2.0,0.0,2.0,0,0.7200515995351068,1.0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0.24001719984503558,2.0,0.9066838665117022
1,0.0,0.0,9.0,1,0.6179035655664339,0.0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0.5393011885221446,4.5,0.5393011885221446
1,0.0,0.0,7.0,1,0.6943854525115413,0.0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0.5647951508371803,3.5,0.5647951508371803
1,4.0,0.0,5.0,1,0.2143277619533131,4.0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0.40477592065110435,4.5,1.7381092539844376
2,1.0,0.0,0.0,0,0.5963766176932567,4.0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0.19879220589775223,0.5,0.5321255392310856
2,4.0,0.0,4.0,1,0.3661229792220033,3.0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0.45537432640733444,4.0,1.788707659740668
1,2.0,0.0,2.0,0,0.4378258116344047,4.0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0.14594193721146823,2.0,0.8126086038781349
2,0.0,0.0,9.0,1,0.5679205032734082,4.0,1,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0.5226401677578028,4.5,0.5226401677578028
1,2.0,0.0,0.0,1,0.4932921760875567,0.0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0.4977640586958523,1.0,1.164430725362519
1,0.0,0.0,7.0,1,0.6418280659693711,2.0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0.5472760219897904,3.5,0.5472760219897904
1,4.0,0.0,6.0,1,0.1809795776059951,3.0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0.39365985920199836,5.0,1.7269931925353317
3,5.0,0.0,6.0,0,0.5407099549161969,1.0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0.1802366516387323,5.5,1.846903318305399
1,4.0,0.0,9.0,1,0.4502794828645408,4.0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0.4834264942881803,6.5,1.8167598276215138
1,3.0,0.0,9.0,1,0.4610204940139982,4.0,1,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0.4870068313379994,6.0,1.4870068313379994
1,3.0,0.0,9.0,1,0.4693820505825953,5.0,1,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0.48979401686086516,6.0,1.4897940168608652
1,4.0,0.0,10.0,0,0.8186274411366156,2.5115834218916047,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0.2728758137122052,7.0,1.6062091470455384
2,1.0,0.0,5.0,0,0.6295699611705368,1.0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0.20985665372351225,3.0,0.5431899870568456
1,4.0,0.0,8.0,0,0.7164869356023688,5.0,1,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0.2388289785341229,6.0,1.5721623118674561
1,5.0,0.0,2.0,1,0.0428026360681066,0.0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0.3476008786893689,3.5,2.0142675453560357
1,2.0,0.0,8.0,1,0.7439917193796687,3.0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0.5813305731265562,5.0,1.2479972397932229
1,4.0,0.0,3.0,0,0.4861646884536487,2.0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0.16205489615121624,3.5,1.4953882294845495
2,4.0,0.0,4.0,1,0.3177475645481276,1.0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0.4392491881827092,4.0,1.7725825215160427
1,0.0,0.0,6.0,1,0.1397769659381429,3.0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0.3799256553127143,3.0,0.3799256553127143
1,0.0,0.0,5.0,0,0.0752087903519918,0.0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0.025069596783997266,2.5,0.025069596783997266
2,0.0,0.0,9.0,1,0.0448856854967231,3.0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0.34829522849890765,4.5,0.34829522849890765
1,0.0,0.0,7.0,0,0.1617961748902407,5.0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0.0539320582967469,3.5,0.0539320582967469
1,1.0,0.0,7.0,0,0.0301437947977416,4.0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0.0100479315992472,4.0,0.34338126493258053
1,2.0,0.0,7.0,0,0.732642242442521,4.0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0.24421408081417365,4.5,0.9108807474808404
1,2.0,0.0,2.0,0,0.2486141190217397,2.0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0.08287137300724656,2.0,0.7495380396739133
2,5.0,0.0,9.0,0,0.3687404269320091,3.0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0.12291347564400303,7.0,1.7895801423106696
1,1.0,0.0,5.0,0,0.8227162138158829,4.0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0.27423873793862763,3.0,0.607572071271961
1,0.0,0.0,6.0,1,0.1146574965245906,2.0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0.3715524988415302,3.0,0.3715524988415302
1,2.0,0.0,8.0,1,0.8355940302362127,2.0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0.6118646767454042,5.0,1.2785313434120709
3,0.0,0.0,9.0,0,0.342029514604603,2.0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0.11400983820153433,4.5,0.11400983820153433
1,0.0,0.0,3.0,0,0.1178072130676842,0.0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0.0392690710225614,1.5,0.0392690710225614
1,2.0,0.0,4.0,0,0.0914926973409124,4.0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0.03049756578030413,3.0,0.6971642324469708
1,1.0,0.0,7.0,1,0.3355143460793206,4.0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0.4451714486931069,4.0,0.7785047820264402
2,5.0,0.0,0.0,1,0.1403419727180458,1.0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0.3801139909060152,2.5,2.046780657572682
1,3.0,0.0,5.0,0,0.2677102964752748,0.0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0.08923676549175825,4.0,1.0892367654917583
1,2.0,0.0,3.0,0,0.0529558004513245,4.0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0.017651933483774834,2.5,0.6843186001504415
2,0.0,0.0,4.0,0,0.5950084216966989,5.0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0.19833614056556628,2.0,0.19833614056556628
1,4.0,0.0,10.0,0,0.1452761169538045,4.0,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0.04842537231793483,7.0,1.3817587056512683
1,1.0,0.0,4.0,0,0.756732313125627,1.0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0.252244104375209,2.5,0.5855774377085424
2,5.0,0.0,7.0,0,0.7979765793381859,3.0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0.26599219311272865,6.0,1.9326588597793952
1,2.0,0.0,1.0,0,0.1898819862258677,0.0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0.06329399540862256,1.5,0.7299606620752893
1,0.0,0.0,3.0,0,0.7213665637012986,2.0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0.2404555212337662,1.5,0.2404555212337662
1,3.0,0.0,4.0,0,0.3330746796251973,1.0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0.1110248932083991,3.5,1.111024893208399
1,4.0,0.0,0.0,1,0.5831199948890083,1.0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0.5277066649630028,2.0,1.8610399982963362
1,3.0,0.0,5.0,0,0.0386618143217384,4.0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0.012887271440579467,4.0,1.0128872714405794
1,5.0,0.0,1.0,0,0.4952444343542574,5.0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0.1650814781180858,3.0,1.8317481447847523
1,0.0,0.0,4.0,0,0.1486878947020632,4.0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0.0495626315673544,2.0,0.0495626315673544
1,4.0,0.0,5.0,1,0.4863202272490264,5.0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0.49544007574967547,4.5,1.8287734090830086
1,5.0,0.0,10.0,0,0.1413591308861497,1.0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0.047119710295383234,7.5,1.7137863769620498
1,3.0,0.0,7.0,1,0.4370891201393708,2.0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0.47902970671312356,5.0,1.4790297067131235
1,3.0,0.0,8.0,0,0.1106208202322883,3.0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0.0368736067440961,5.5,1.036873606744096
2,4.0,0.0,5.0,0,0.2199515177342957,0.0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0.07331717257809857,4.5,1.4066505059114318
1,3.0,0.0,3.0,0,0.9766606372101422,3.0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0.3255535457367141,3.0,1.325553545736714
1,2.0,0.0,1.0,0,0.4491847683919719,0.0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0.1497282561306573,1.5,0.8163949227973241
0,5.0,0.0,1.0,0,0.6871736926095025,2.0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0.22905789753650083,3.0,1.8957245642031675
0,4.0,0.0,6.0,0,0.5394246710443752,1.0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0.1798082236814584,5.0,1.5131415570147917
2,1.0,0.0,4.0,0,0.4983579342944377,2.0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0.16611931143147923,2.5,0.4994526447648126
2,1.0,0.0,6.0,0,0.0647041968398511,5.0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0.0215680656132837,3.5,0.35490139894661704
1,0.0,0.0,10.0,1,0.1442974022752794,1.0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0.3814324674250931,5.0,0.3814324674250931
3,2.0,0.0,0.0,1,0.8830577292325673,4.0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0.627685909744189,1.0,1.2943525764108557
1,3.0,0.0,0.0,1,0.4101643150418033,0.0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0.4700547716806011,1.5,1.4700547716806012
3,1.0,0.0,4.0,1,0.614332476584791,4.0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0.5381108255282636,2.5,0.871444158861597
1,0.0,0.0,1.0,0,0.5282332327149584,1.0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0.17607774423831946,0.5,0.17607774423831946
1,5.0,0.0,7.0,0,0.3788823795512348,0.0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0.12629412651707828,6.0,1.792960793183745
1,2.0,0.0,2.0,1,0.3878165426109311,0.0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0.46260551420364376,2.0,1.1292721808703103
0,2.0,0.0,0.0,1,0.5554650059086728,4.0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0.518488335302891,1.0,1.1851550019695576
2,0.0,0.0,1.0,1,0.1411418014757436,0.0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0.3803806004919145,0.5,0.3803806004919145
1,0.0,0.0,9.0,1,0.387259040254434,1.0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0.4624196800848113,4.5,0.4624196800848113
1,3.0,0.0,9.0,0,0.4469755694027391,5.0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0.1489918564675797,6.0,1.1489918564675798
2,0.0,0.0,6.0,1,0.9851262236761242,5.0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0.6617087412253747,3.0,0.6617087412253747
1,3.0,0.0,5.0,0,0.3514547692857177,1.0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0.11715158976190591,4.0,1.117151589761906
2,3.0,0.0,7.0,0,0.6445788958808689,4.0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0.21485963196028965,5.0,1.2148596319602898
2,4.0,0.0,6.0,0,0.1374154998264681,2.0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0.0458051666088227,5.0,1.379138499942156
