codigo_tribunal,populacao,num_juizes,casos_recebidos,tipo_caso,taxa_crescimento_populacao,taxa_criminalidade,tempo_casos,nivel_automacao,congestionamento,advogados,urbanizacao,nivel_educacao,habitantes_por_juiz,idh,idade_juizes,casos_pendentes
1395G,284136.0,19.0,486.9754623987608,criminal,1.0,0.8596670170508688,2.0,9.0,medio,90.0,alto,0.8260362675364324,14954.526315789471,0.4492425518669348,52.0,1069.2630143443603
3817D,378627.0,12.0,92.56343254012353,civil,0.2338931604789518,0.46190351217358766,22.0,10.0,baixo,19.0,baixo,0.5179863886179749,31552.25,0.49581230714365815,44.0,186.9189668723767
5019G,413729.0,20.0,586.5758517301446,trabalhista,0.9009372149389394,0.48669302556818833,20.0,10.0,medio,50.0,baixo,0.9824991721676565,20686.45,0.7995850890622485,49.0,1776.230809658064
3460H,89754.0,3.0,229.28161499741663,civil,0.0,0.23681911283467072,11.0,1.0,alto,4.0,baixo,0.8324171772963681,29918.0,0.8709120687224644,46.0,923.9000651036704
4703B,191050.0,5.0,841.2779214358458,trabalhista,0.6697995925988569,0.6432352992778487,5.0,10.0,medio,5.0,baixo,0.6323594602451184,38210.0,0.6423760712366915,54.0,2567.128275978736
6004E,117592.0,19.0,896.9358769900285,criminal,0.3271052000837198,0.6182560801161403,6.0,9.0,alto,29.0,medio,0.7475305648636258,6189.052631578948,1.0,49.0,3194.955396508192
8318H,386687.0,7.0,310.49474256969165,trabalhista,1.0,0.8261963411141324,3.0,2.0,baixo,5.0,alto,1.0,55241.0,0.9248894638500865,48.0,1122.8184234842047
8513H,73169.0,9.0,443.81625196021736,criminal,0.41542251471096747,0.8411431010475546,1.0,6.0,invalido,60.0,alto,0.9991633864957341,8129.888888888889,0.8104939701888657,53.0,1351.81717129215
2021E,471503.0,7.0,249.22142523698872,civil,0.14739233630512905,0.498585632002651,3.0,1.0,baixo,65.0,alto,0.7993917955818974,67357.57142857143,0.7901757814116879,53.0,887.384101142075
3641F,84745.0,18.0,190.9203531776073,criminal,0.28008788533983164,0.45095621961091453,3.0,0.0,medio,28.0,medio,0.0367581913952445,4708.055555555556,0.6413383715148274,55.0,1061.1999732586296
4130A,140168.0,4.0,617.2087850673847,criminal,0.0,0.39047988362073915,22.0,8.0,alto,83.0,medio,0.7309808399756594,35042.0,0.440122248914123,44.0,1517.574098591594
2654A,143985.0,14.0,435.634896910398,criminal,0.22387231403344932,0.7348954328339299,4.0,5.0,alto,1.0,baixo,0.9024870511617976,10284.642857142857,0.6792267018667041,35.0,1202.879455159902
4385E,297687.0,18.0,792.0290680727721,criminal,0.07777033615150808,0.11351699700204726,7.0,8.0,baixo,29.0,medio,0.29032148829281995,16538.166666666668,0.37522253925761784,59.0,2275.179896885128
6268H,217464.0,9.0,819.2379848784411,criminal,0.1912327112884502,0.3235995319300304,15.0,2.0,medio,51.0,alto,0.506563733111149,24162.666666666668,0.419130163302659,54.0,2260.48639975595
1302H,51067.0,2.0,224.26731825920479,criminal,0.26028635987471005,0.36020497504856297,11.0,2.0,medio,36.0,medio,0.8060185745778625,25533.5,0.511693285526006,41.0,389.82795213322646
4063E,81033.0,20.0,457.76972494246644,criminal,1.0,0.6658482967470845,18.0,9.0,baixo,32.0,medio,0.32828193663754707,4051.65,0.5837288095189965,57.0,1556.6909366277341
7389C,75256.0,15.0,612.1447034932908,,0.7348306919418905,0.47609934420802,12.0,2.0,alto,64.0,alto,0.06891148545118297,5017.066666666667,0.24310086396301622,57.0,1703.4017923360095
2973B,251705.0,7.0,365.9982062821025,criminal,0.10156186624937258,0.47036877432490937,4.0,1.0,medio,14.0,baixo,0.0,35957.857142857145,0.42221918917698276,45.0,1285.3234026117816
7303C,269455.0,12.0,628.3729809374987,civil,0.5298138412538059,0.4735520418643277,11.0,10.0,medio,32.0,medio,0.03415093565991306,22454.58333333333,0.22498472461827307,55.0,1750.982827994971
3494F,230417.0,8.0,958.077539523179,criminal,0.14954153572156453,0.496989957037765,6.0,5.0,baixo,9.0,desconhecido,0.6341178985728225,28802.125,0.3646551071911231,38.0,2499.626855426605
9510G,445407.0,15.0,432.0347818248347,trabalhista,,,19.0,2.0,baixo,83.0,desconhecido,0.0,29693.8,0.5396094549276482,,1659.5185278659762
7034B,58992.0,3.0,274.19256983888135,criminal,0.28013056994882635,0.3479745417627297,18.0,4.0,alto,11.0,baixo,0.08498028711066932,19664.0,0.702172559940798,55.0,1366.1013340948389
,242603.0,14.0,362.7204639950074,criminal,0.5686391533934427,0.33191573460143314,15.0,10.0,medio,48.0,medio,0.6320159826443386,17328.785714285714,0.6609437623768859,56.0,1159.5650485670972
7074A,78803.0,17.0,,criminal,0.6549531713027047,0.8670860405790005,3.0,4.0,medio,51.0,medio,0.23114666849789361,4635.470588235294,0.5201903993763854,44.0,
1596D,402119.0,4.0,425.749035583191,civil,0.0,0.6596824163854633,17.0,9.0,medio,4.0,baixo,0.09022247060966687,100529.75,0.6924646440851493,57.0,1438.172704440731
6802D,224549.0,18.0,198.61021524420485,criminal,0.7085718609179292,0.6992217015136812,1.0,2.0,baixo,41.0,medio,0.4139397981227608,12474.944444444443,0.6087005967139605,39.0,1120.8607589030885
1872G,174282.0,8.0,414.7259719786031,criminal,0.22737332487500644,0.5183037275649418,2.0,2.0,medio,25.0,medio,0.5990606515536546,21785.25,0.8325380950328302,50.0,1400.7739624146793
7632H,56270.0,4.0,531.4533438806325,criminal,0.2566688497370994,0.7756878336488655,19.0,0.0,baixo,17.0,alto,0.3299704770636699,14067.5,0.6076093018383555,46.0,1947.8716855259017
3681D,92008.0,2.0,669.6902497859262,criminal,0.8596462340795846,0.8315538146923722,9.0,5.0,alto,47.0,baixo,0.20748076084383943,46004.0,0.6677357611970818,59.0,2227.006844317559
2924C,428413.0,6.0,120.9194862431127,criminal,0.0,0.5330077692560029,8.0,2.0,invalido,8.0,alto,0.0,71402.16666666667,0.36222188346095785,59.0,762.7515298920812
1323G,274929.0,10.0,590.9367815877588,trabalhista,0.5758949605609094,0.7305715435869753,12.0,0.0,alto,58.0,medio,0.8971941693464913,27492.9,0.8083835605816679,35.0,1870.1431699547131
5830C,37452.0,4.0,255.1817771661345,civil,0.2478459367969053,0.6879183491736147,15.0,9.0,medio,1.0,alto,0.771223313428777,9363.0,0.8073461965823859,39.0,859.2250453610369
2633D,333630.0,18.0,,trabalhista,0.34420575343342663,0.5343247601776712,23.0,8.0,medio,2.0,medio,0.27614967323788814,18535.0,0.16816556544363642,52.0,
8117B,44859.0,12.0,197.83318705304177,trabalhista,0.21982094106992772,0.4696969464433861,7.0,10.0,alto,10.0,desconhecido,0.9480093261845721,3738.25,0.5993413953421634,38.0,780.1013709611213
2067G,57236.0,2.0,705.6517222383168,trabalhista,0.15056559133780822,0.49701733553690153,21.0,0.0,medio,27.0,desconhecido,0.0,28618.0,0.5722083691788391,49.0,1716.0912599519888
7948C,455115.0,10.0,382.24718977397816,trabalhista,0.6392364813253405,0.3497089694873626,16.0,4.0,medio,,medio,0.29584742174983214,45511.5,0.7320546630543643,57.0,888.7466676967504
3061B,62083.0,4.0,410.5677906319036,criminal,0.4773436190413587,0.3640085417705565,7.0,4.0,medio,13.0,alto,0.42910544511518545,15520.75,0.6006275552765601,60.0,1644.0159256639695
3259E,359852.0,14.0,356.7258834012862,civil,0.495621119970037,0.8200189291638575,20.0,1.0,alto,63.0,medio,0.4336010364537315,25703.714285714286,0.3264021827762206,40.0,1500.3740784730307
1384C,141462.0,16.0,408.7539552224049,trabalhista,0.13799091364041527,0.6531264089996558,21.0,0.0,alto,11.0,baixo,0.49227829162581005,,0.7866927179357596,41.0,1359.3741147456658
5382B,177735.0,15.0,160.04468384594588,trabalhista,0.20424917339829157,0.488199419418113,12.0,5.0,alto,14.0,baixo,0.0,11849.0,0.31598525300326413,53.0,198.5365483618699
2638F,385220.0,8.0,658.6853717955546,trabalhista,0.4897707570565021,0.3544870430776058,17.0,6.0,alto,,medio,0.793326691100138,48152.5,0.4626111151408598,48.0,2340.886473570946
,279737.0,14.0,598.3717397668323,criminal,0.4304835219158365,0.7557953330807728,11.0,10.0,alto,80.0,alto,0.3250899951879192,19981.214285714286,0.5864535624444971,49.0,1823.093098805393
4947B,311197.0,8.0,179.7426142253753,trabalhista,0.027058287307929807,0.32951439665722904,4.0,10.0,medio,93.0,baixo,0.0,38899.625,0.4784978009113342,55.0,192.14949706231204
2506D,172157.0,16.0,488.8219063791738,criminal,0.31553843406730697,0.22371698662444423,19.0,8.0,alto,98.0,medio,0.8329578990357225,10759.8125,0.8917019027429045,50.0,1656.3285664133275
1779E,453780.0,13.0,350.98016530339555,trabalhista,0.19334444224694342,0.5205807859740091,2.0,7.0,baixo,26.0,medio,0.7304833084363416,34906.153846153844,0.6033254717820797,56.0,1324.687197277188
3787B,381889.0,18.0,797.2782255525774,trabalhista,0.0,0.4784978009113342,2.0,9.0,alto,69.0,medio,0.37481355665391747,21216.055555555555,0.3834859305065905,49.0,2658.6691064952975
3694D,220167.0,15.0,400.27016356167576,trabalhista,0.4179614134347419,0.6842036599424142,17.0,2.0,baixo,83.0,alto,0.7354709362575907,14677.8,0.40636113956805675,40.0,1111.9362170308907
9437D,99517.0,13.0,375.1945395796139,civil,0.017980664136571456,0.24707414963219482,9.0,8.0,medio,39.0,baixo,0.7136211102230052,7655.153846153846,0.9607303257489404,40.0,973.7023470082895
1668E,182225.0,9.0,294.9090562177537,trabalhista,0.6442044853891726,0.5181813948742181,22.0,0.0,alto,92.0,alto,1.0,,0.8425722774313816,59.0,496.66567581215315
6692B,166319.0,15.0,786.8982910757411,trabalhista,0.714885110677597,0.39606822677805986,1.0,5.0,medio,28.0,alto,0.0,11087.933333333332,0.6132995761777209,40.0,2820.5745291833796
7793G,433769.0,13.0,308.94006845433006,criminal,0.4083854058224021,0.8081124735486387,10.0,9.0,baixo,17.0,baixo,0.650446687036657,33366.84615384616,0.5734422633337802,46.0,994.6786215100626
3154A,50811.0,1.0,529.5174179646348,trabalhista,0.5537101568460545,0.6194273558544089,23.0,1.0,baixo,37.0,alto,0.6034013798518656,50811.0,0.9439984875059226,36.0,2062.5016181604856
,256453.0,7.0,463.2341641177549,trabalhista,0.0,0.6132995761777209,15.0,9.0,alto,83.0,medio,0.024966743857148532,36636.142857142855,0.0,59.0,1316.0308720764422
2194F,429351.0,9.0,635.5189909059686,criminal,0.6159266371948511,0.5561822384128773,21.0,8.0,baixo,27.0,medio,0.35671153877621853,47705.66666666666,0.5110546727577139,38.0,2424.0036690878906
5764A,35573.0,1.0,269.9202850818118,criminal,0.7819407461576258,1.0,15.0,8.0,baixo,12.0,medio,0.40205158204336516,35573.0,0.3384023864550503,57.0,267.51599550783396
8855A,109267.0,12.0,706.1150335235584,civil,0.5115436215525608,0.19160857095121264,23.0,7.0,alto,67.0,alto,0.8505783240351419,9105.583333333334,0.6042182460904887,40.0,2171.393455625082
3602G,168261.0,8.0,241.84474678726275,civil,0.6286447810826843,0.6470212939109468,21.0,10.0,medio,68.0,alto,0.5442764322955496,21032.625,0.30663345519109136,59.0,485.5991335118399
9716H,372221.0,11.0,164.61653422297454,,0.7720673572309332,0.5234102740488343,2.0,6.0,alto,47.0,alto,0.4120917927168549,33838.27272727273,0.3772115733921353,44.0,316.24322877830014
6001A,466862.0,19.0,361.48501592166434,,0.3628680417837978,0.3603631049648166,14.0,5.0,alto,75.0,alto,0.32608516061516357,24571.68421052632,0.8448192673486236,53.0,690.1979063299677
4900C,368767.0,17.0,426.0826486954187,trabalhista,0.0,0.03449523904331653,4.0,1.0,alto,34.0,baixo,0.4161053921478951,21692.176470588234,0.395343634133628,58.0,1088.9964616368177
7320B,,8.0,738.566243973046,civil,0.8027241007124817,0.5725277273899486,18.0,3.0,alto,18.0,medio,1.0,20125.5,1.0,39.0,2792.3637624807006
1197F,83687.0,3.0,55.37563137227764,trabalhista,0.2818047791741246,0.822679076628104,9.0,9.0,,35.0,alto,0.5580777076054957,27895.666666666668,0.18865668814267034,40.0,1.0633012063536285
6891H,98312.0,3.0,739.8252193795599,civil,0.2617949127402215,0.3181883944297912,2.0,6.0,baixo,18.0,alto,0.6469363046206278,32770.666666666664,1.0,48.0,2548.217424332756
9141B,57564.0,1.0,555.5889176030583,trabalhista,1.0,1.0,,5.0,medio,46.0,medio,0.7897858951885361,57564.0,0.691435930420811,49.0,1085.193504319059
2755B,,5.0,268.87795711596505,civil,1.0,0.4096178343399226,18.0,8.0,alto,70.0,alto,0.0,64195.8,0.4824564055143233,53.0,1542.9987191428536
6884D,484803.0,10.0,667.0075164187649,civil,0.5375950344794456,1.0,17.0,4.0,medio,34.0,baixo,0.5847849081715475,48480.3,0.8403241535602398,53.0,1999.8370234961092
1505F,37697.0,7.0,397.92473784894577,criminal,0.476448265406845,0.5347671155299655,9.0,5.0,baixo,33.0,medio,0.5639056425436821,5385.285714285715,0.4672793411584024,41.0,1471.4588218183221
3514B,110165.0,9.0,880.4451726931137,,0.4068145719750838,0.6858636915018652,8.0,9.0,medio,72.0,medio,1.0,12240.555555555557,0.8849778973737674,56.0,3017.2330672910402
5582A,234994.0,7.0,273.68230530268204,criminal,1.0,1.0,2.0,5.0,alto,84.0,medio,0.6943128845285669,33570.57142857143,0.5929044392178986,52.0,653.0366957378883
8361D,440262.0,9.0,362.2445070382428,criminal,0.6807532757103114,0.525703157741717,2.0,7.0,medio,84.0,alto,0.5928485803124894,48918.0,0.4597107811778768,60.0,1218.2003671753794
4650A,87823.0,8.0,336.82749780768603,criminal,1.0,0.8849778973737674,5.0,7.0,alto,43.0,alto,1.0,10977.875,0.49251247801929554,46.0,933.1044888534807
3547F,496796.0,12.0,453.6639036483713,trabalhista,0.04973967214538286,0.27061783302630654,12.0,5.0,medio,82.0,baixo,0.18284699205886285,41399.66666666666,0.3711486104410219,42.0,1159.9214474775622
3720C,83370.0,2.0,466.6366397174402,criminal,0.6328172481598756,0.4796951151015699,16.0,7.0,medio,27.0,alto,0.4968558668904857,41685.0,0.6977610769288463,55.0,942.6786361812638
8857F,,1.0,284.6573168191948,trabalhista,0.3273177658110082,0.15617136092479955,14.0,6.0,medio,48.0,alto,0.8672291147438622,39615.0,0.919450919405399,57.0,827.5596220749701
9986B,428276.0,16.0,666.0500020720821,criminal,0.26120802078326305,0.41032912480322203,20.0,0.0,baixo,69.0,alto,0.2651735923361338,26767.25,0.4784703976965238,37.0,2226.1497214416513
9361G,422643.0,5.0,484.5870493905835,criminal,0.9136153323113487,0.9061408096392778,2.0,4.0,medio,71.0,medio,0.6391052853186305,84528.6,0.70243381800271,49.0,1736.5156912219522
2776D,90519.0,3.0,467.691209270362,civil,1.0,0.985836362033468,8.0,10.0,alto,22.0,alto,0.5966875465833944,30173.0,0.6602885382779569,44.0,1475.8990301037713
2057F,412706.0,12.0,584.1989363444702,criminal,0.2059786264454476,0.4488729147511807,4.0,9.0,alto,34.0,,0.1738602541539705,34392.166666666664,0.23943888830169563,55.0,1880.9185720485027
4260A,363261.0,8.0,411.31506970562543,trabalhista,0.11883126549030393,0.44229680808854677,20.0,9.0,medio,43.0,baixo,0.17753727400753327,45407.625,0.08138466035911812,53.0,1330.862356596266
9868A,91158.0,3.0,201.22409388575537,trabalhista,0.6516845870917511,0.6877870585321353,9.0,9.0,baixo,13.0,alto,0.9670016978686503,30386.0,0.6710498831013152,46.0,386.4354234943317
2708A,64782.0,1.0,595.9515001514267,trabalhista,0.5653101058379064,0.4351638141436635,20.0,4.0,alto,32.0,baixo,0.7079672047978602,64782.0,0.33408137773841645,37.0,1330.7785354873072
2024E,88255.0,,582.9396708158012,criminal,0.03979308350216998,0.012512565106436446,19.0,9.0,baixo,24.0,medio,0.5915674948110146,29418.33333333333,0.7606617334743299,48.0,1584.1425636978888
2979C,102684.0,5.0,599.687659488584,trabalhista,0.25078082212922376,0.31293944523160194,2.0,8.0,baixo,16.0,baixo,0.908793484686809,20536.8,1.0,51.0,1323.2096414749817
2968B,480134.0,15.0,966.3621185649292,criminal,0.0,0.0,16.0,6.0,medio,14.0,medio,,32008.93333333333,,37.0,3150.403334798022
7512G,287165.0,14.0,347.63810192402525,criminal,0.8161470394992949,0.8729515058184701,11.0,6.0,alto,39.0,medio,0.0,20511.785714285717,0.5023710327060715,41.0,1794.360166431373
1740D,55256.0,3.0,607.2545188559242,trabalhista,0.8491019269096701,1.0,8.0,9.0,alto,7.0,baixo,1.0,18418.666666666668,0.7437524121134177,59.0,2129.3201056268795
3797C,60005.0,1.0,482.29420264803844,trabalhista,0.1364294793514803,0.5705857723818116,12.0,1.0,invalido,44.0,alto,0.8606808879374497,60005.0,0.7336817454893018,,1366.5112261142417
8931B,298782.0,5.0,562.0514791434424,trabalhista,,,3.0,7.0,baixo,12.0,medio,1.0,59756.4,1.0,49.0,1695.1663897111926
2576D,329563.0,14.0,474.755896042657,trabalhista,0.48652221067868545,0.48701351745276034,13.0,2.0,baixo,84.0,medio,1.0,23540.214285714286,0.6798169927166566,54.0,1774.4435888718142
6538D,63377.0,7.0,698.6044658275385,civil,0.7896757515558659,0.6981791772985099,2.0,8.0,medio,97.0,alto,0.6866620654613971,9053.857142857143,0.669918486151179,44.0,1919.5388865576006
8537B,136244.0,9.0,132.87743149452973,trabalhista,1.0,1.0,13.0,5.0,alto,55.0,medio,0.7848905773734999,15138.222222222224,0.258450403219432,41.0,442.5134746143099
7282C,204188.0,15.0,725.0064953099034,criminal,0.45235929283229664,0.4059966391328049,8.0,8.0,baixo,6.0,alto,0.5831585192792762,13612.533333333333,0.3682674843406172,56.0,1528.027157728733
1051B,459850.0,15.0,752.199662904862,civil,0.1244661715177442,0.3888205391793526,15.0,8.0,medio,40.0,medio,0.6252615982058273,30656.666666666668,0.4987571979716554,54.0,1925.6313257660547
9614F,243363.0,10.0,427.2456395796395,civil,1.0,0.36600511453268214,21.0,6.0,medio,,medio,0.5558983061410594,24336.3,0.7052024930918332,37.0,1114.9265170420313
2581E,53382.0,13.0,448.7251967773748,trabalhista,0.0,0.07668822470097908,9.0,9.0,alto,13.0,alto,0.21970792862325897,4106.307692307692,0.2563241183832293,56.0,1541.0556003640797
7912A,276375.0,19.0,701.4989906909166,trabalhista,0.7969619877093761,0.5846073927234299,11.0,7.0,baixo,69.0,baixo,0.564323805056211,14546.052631578948,0.7058577991938226,49.0,1878.2022031801494
7127C,217135.0,7.0,850.407937034608,criminal,0.5833350284963665,0.7189208542694869,22.0,,invalido,24.0,alto,0.9904132595665781,31019.285714285717,0.8318388738144261,54.0,2740.7676561024
6819E,183466.0,17.0,672.2206671566527,civil,0.2673784949433022,0.2801594015432509,21.0,4.0,medio,74.0,medio,0.9193078013135605,10792.117647058823,1.0,39.0,2075.6103675166637
5311C,359933.0,20.0,511.6425531155629,civil,0.7804097063130933,0.8139007498222637,3.0,2.0,baixo,59.0,medio,0.7381253609709365,17996.65,0.45395975350056283,36.0,2096.733041244963
1443G,264318.0,4.0,481.0599209415806,trabalhista,1.0,0.8366322440311371,7.0,0.0,baixo,46.0,alto,0.3502642872855513,66079.5,0.07128820147385839,43.0,1124.5253723473838
2238B,402778.0,5.0,466.8238174206056,civil,0.6336772225597995,0.9887088658787491,14.0,5.0,baixo,96.0,baixo,0.9156746847414254,80555.6,0.2703444508175409,52.0,798.705539008441
4941E,161936.0,7.0,507.63858966870305,criminal,0.0,0.08489707301509461,15.0,8.0,alto,73.0,alto,0.5548653761911259,23133.714285714286,0.547719986118405,47.0,795.6764316763515
3652A,391716.0,13.0,143.54321402686344,trabalhista,0.5210488256667872,0.15668047066447632,9.0,1.0,alto,99.0,medio,0.16140542596771534,30132.0,0.6109330053060548,54.0,390.0605891148535
2267D,463438.0,15.0,694.0365459672329,trabalhista,0.7280371202313791,0.17652566856251772,20.0,8.0,baixo,44.0,baixo,0.27985120257978635,30895.866666666665,0.47699027796957033,58.0,2431.4550763849943
4060B,436882.0,11.0,603.4846448278363,criminal,0.4048849228583348,0.47272975945200946,11.0,7.0,medio,76.0,alto,0.7121096024278879,39716.545454545456,0.7877469864482936,72.0,1870.0509495030246
5212A,153664.0,4.0,393.9263728479342,trabalhista,0.6410319929780182,0.8507462888112061,7.0,10.0,alto,11.0,alto,1.0,38416.0,0.7900927796209652,38.0,1383.3173963953273
7407E,182027.0,13.0,613.2294757012436,criminal,0.0,0.33706467667967716,12.0,8.0,medio,61.0,baixo,1.0,14002.076923076924,0.8474797699044795,42.0,1828.8275965351786
9669E,402818.0,7.0,446.74618362411104,trabalhista,0.8718653700956189,0.867624870282159,19.0,4.0,medio,36.0,alto,0.6677846849558963,57545.42857142857,0.33157627784964017,40.0,1415.4582057290525
4137G,133533.0,19.0,649.0083925554684,civil,0.7227667207830778,0.6514761400125041,18.0,1.0,medio,72.0,medio,0.5806857935539526,7028.052631578948,0.9768169633097954,58.0,1497.5510807239432
6961E,99590.0,2.0,441.9249191291817,criminal,0.424845753664274,0.5599026467366165,13.0,9.0,baixo,10.0,alto,0.12920528168497017,49795.0,0.4610870476468559,38.0,1909.4858571867737
1929B,419919.0,10.0,119.56673393426239,civil,0.5143820117013698,0.25487494122237686,11.0,9.0,medio,78.0,baixo,0.9223303541420316,41991.9,0.498008567274128,39.0,507.4268120093434
4671D,358615.0,13.0,177.1830558274351,civil,0.33602755538753454,0.8544878442265864,1.0,5.0,baixo,94.0,baixo,0.14087438640885522,27585.76923076923,0.0,54.0,140.81425278697384
9625G,335442.0,6.0,495.4153921621119,trabalhista,0.18250580093597638,0.487737307272359,6.0,6.0,medio,1.0,baixo,0.6572296771481225,55907.0,0.7352284753427724,57.0,901.161657687276
5389G,486324.0,12.0,677.64332949465,trabalhista,0.9691214590791962,0.5214041197427104,21.0,2.0,alto,63.0,alto,0.3603906858995516,40527.0,0.4583306995538727,54.0,2196.8504436370163
5354G,274936.0,12.0,777.659081661494,civil,0.22090115518536393,0.01772756505997536,2.0,5.0,baixo,12.0,medio,0.9295981415092682,22911.33333333333,0.7081623868638006,55.0,2304.1802798906274
2597D,78924.0,20.0,545.1701244422005,trabalhista,0.48178754635504495,0.6475074099462336,13.0,5.0,baixo,5.0,medio,0.12096295065936385,,0.6472302444115589,43.0,1554.555347490351
3203E,439925.0,11.0,545.6006712661646,trabalhista,0.7109987991461034,0.6336347561771486,13.0,7.0,alto,78.0,alto,0.0,39993.181818181816,0.1862765519300933,42.0,2070.925167421309
6014D,39726.0,7.0,422.69384912694943,,0.9293155787444612,0.7080211054813971,19.0,0.0,baixo,36.0,baixo,0.46679772069913045,5675.142857142857,0.3634295677469218,36.0,1101.4963752759884
7734H,90824.0,1.0,157.87424072943944,criminal,1.0,1.0,9.0,3.0,baixo,17.0,medio,0.23932362703517868,,0.5645511128718022,41.0,222.66878328435334
3279E,70542.0,1.0,761.9391701264537,criminal,0.3610456619302149,0.36679938289520075,19.0,0.0,medio,22.0,alto,1.0,70542.0,0.9211796695952492,52.0,2507.15145941068
7567B,443461.0,20.0,598.6673495372529,civil,0.0,0.13003070739735664,23.0,7.0,alto,31.0,,0.4483586021864327,22173.05,0.2661276049147112,44.0,1981.7715530046326
